time proc1                     proc2                     proc3                     proc4                     proc5                     proc6                     proc7                     proc8                     proc9                     proc10                    proc11                    proc12                    proc13                    proc14                    proc15                    proc16                    proc17                    proc18                    proc19                    proc20                    
1    NEW []                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2    NEW []                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3    RUN []                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
4    RUN []                    NEW []                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
5    RUN [F0]                  NEW []                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
6    BLOCKED [F0]              RUN []                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
7    BLOCKED [F0]              RUN [F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
8    BLOCKED [F0]              RUN [F1]                  NEW []                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
9    BLOCKED [F0]              RUN [F1,F2]               NEW []                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10   READY [F0]                RUN [F1,F2]               READY []                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
11   RUN [F0]                  SIGILL [F1,F2]            READY []                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
12   RUN [F3,F0]               EXIT [F1,F2]              READY []                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
59                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
60                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
61                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
62                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
63                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
64                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
65                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
66                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
67                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
68                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
69                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
70                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
71                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
72                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
73                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
74                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
75                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
76                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
77                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
78                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
79                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
80                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
81                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
82                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
83                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
84                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
85                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
86                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
87                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
88                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
89                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
90                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
91                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
92                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
93                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
94                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
95                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
96                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
97                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
98                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
99                                                       RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
100                                                      RUN [F2,F5,F0,F1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
