time      	proc1              	proc2              	proc3              	proc4              	proc5              	proc6              	proc7              	proc8              	proc9              	proc10             	proc11             	proc12             	proc13             	proc14             	proc15             	proc16             	proc17             	proc18             	proc19             	proc20             
55        	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
56        	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
57        	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
58        	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
59        	READY []          	RUN []            	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
60        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
61        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
62        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
63        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	RUN []            	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
64        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	RUN []            	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
65        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	RUN []            	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
66        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  
67        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	NEW               	                  	                  
68        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  
69        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	RUN []            	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  
70        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	RUN []            	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  
71        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	RUN []            	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  
72        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  
73        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  
74        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  
75        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  
76        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  
77        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               
78        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               
79        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
80        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
81        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
82        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	BLOCKED []        	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
83        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
84        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          
85        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          
86        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          
87        	RUN []            	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
88        	RUN []            	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
89        	RUN []            	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
90        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          
91        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          
92        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          
93        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
94        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
95        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
96        	READY []          	BLOCKED []        	RUN []            	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
97        	READY []          	BLOCKED []        	RUN []            	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
98        	READY []          	BLOCKED []        	RUN []            	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
99        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
100       	READY []          	BLOCKED []        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          
