time      	proc1              	proc2              	proc3              	proc4              	proc5              	proc6              	proc7              	proc8              	proc9              	proc10             	proc11             	proc12             	proc13             	proc14             	proc15             	proc16             	proc17             	proc18             	proc19             	proc20             
1         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
2         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
3         	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
4         	RUN []            	NEW               	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
5         	RUN []            	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
6         	READY []          	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
7         	READY []          	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
8         	READY []          	RUN []            	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
9         	READY []          	READY []          	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
10        	READY []          	READY []          	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
11        	READY []          	READY []          	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
12        	RUN []            	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
13        	RUN []            	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
14        	RUN []            	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
15        	READY []          	RUN []            	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
16        	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
17        	READY []          	BLOCKED []        	READY []          	RUN []            	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
18        	READY []          	BLOCKED []        	RUN []            	BLOCKED []        	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
19        	READY []          	BLOCKED []        	RUN []            	BLOCKED []        	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
20        	READY []          	BLOCKED []        	RUN []            	BLOCKED []        	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
21        	READY []          	BLOCKED []        	READY []          	BLOCKED []        	RUN []            	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
22        	READY []          	BLOCKED []        	READY []          	READY []          	RUN []            	READY []          	NEW               	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
23        	READY []          	BLOCKED []        	READY []          	READY []          	RUN []            	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
24        	RUN []            	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
25        	RUN []            	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
26        	RUN []            	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
27        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
28        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
29        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
30        	READY []          	BLOCKED []        	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
31        	READY []          	BLOCKED []        	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
32        	READY []          	BLOCKED []        	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
33        	READY []          	BLOCKED []        	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
34        	READY []          	BLOCKED []        	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
35        	READY []          	BLOCKED []        	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
36        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
37        	READY []          	BLOCKED []        	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
38        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
39        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
40        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
41        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
42        	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  
43        	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  
44        	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  
45        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	NEW               	NEW               	                  	                  	                  	                  	                  	                  	                  
46        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	NEW               	NEW               	                  	                  	                  	                  	                  	                  
47        	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  	                  
48        	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  
49        	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  	                  
50        	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  
51        	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	NEW               	                  	                  	                  	                  
52        	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
53        	READY []          	READY []          	READY []          	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
54        	READY []          	READY []          	RUN []            	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	READY []          	                  	                  	                  	                  
