time      	proc1              	proc2              	proc3              	proc4              	proc5              	proc6              	proc7              	proc8              	proc9              	proc10             	proc11             	proc12             	proc13             	proc14             	proc15             	proc16             	proc17             	proc18             	proc19             	proc20             
1         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
2         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
3         	RUN []            	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
4         	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
5         	RUN [F0]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
6         	READY [F0]        	RUN [F1]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
7         	READY [F0]        	RUN [F1]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
8         	READY [F0]        	RUN [F1]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
9         	RUN [F2,F0]       	READY [F1]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
10        	RUN [F2,F0]       	READY [F1]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
11        	BLOCKED [F2,F0]   	READY [F1]        	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
12        	READY [F2,F0]     	READY [F1]        	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
13        	READY [F2,F0]     	READY [F1]        	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
14        	READY [F2,F0]     	RUN [F1]          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
15        	READY [F2,F0]     	RUN [F1]          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
16        	RUN [F2,F0]       	BLOCKED [F1]      	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
17        	RUN [F2,F0]       	BLOCKED [F1]      	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
18        	RUN [F2,F0]       	BLOCKED [F1]      	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
19        	BLOCKED [F2,F0]   	BLOCKED [F1]      	READY []          	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
20        	BLOCKED [F2,F0]   	BLOCKED [F1]      	READY []          	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
21        	BLOCKED [F2,F0]   	BLOCKED [F1]      	READY []          	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
22        	READY [F2,F0]     	BLOCKED [F1]      	RUN [F3]          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
23        	READY [F2,F0]     	BLOCKED [F1]      	RUN [F3]          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
24        	READY [F2,F0]     	BLOCKED [F1]      	RUN [F3]          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
25        	READY [F2,F0]     	BLOCKED [F1]      	READY [F3]        	READY []          	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
26        	READY [F2,F0]     	BLOCKED [F1]      	READY [F3]        	READY []          	RUN []            	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
27        	READY [F2,F0]     	BLOCKED [F1]      	READY [F3]        	READY []          	RUN []            	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
28        	RUN [F2,F0]       	BLOCKED [F1]      	READY [F3]        	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
29        	RUN [F2,F0]       	BLOCKED [F1]      	READY [F3]        	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
30        	RUN [F2,F0]       	BLOCKED [F1]      	READY [F3]        	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
31        	EXIT [F2,F0]      	BLOCKED [F1]      	READY [F3]        	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
32        	EXIT [F2,F0]      	BLOCKED [F1]      	READY [F3]        	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
33        	EXIT [F2,F0]      	BLOCKED [F1]      	READY [F3]        	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
34        	                  	BLOCKED [F1]      	RUN [F0,F3]       	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
35        	                  	BLOCKED [F1]      	RUN [F0,F3]       	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
36        	                  	BLOCKED [F1]      	RUN [F0,F3]       	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
37        	                  	BLOCKED [F1]      	READY [F0,F3]     	READY []          	SIGSEGV []        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
38        	                  	BLOCKED [F1]      	READY [F0,F3]     	SIGSEGV []        	EXIT []           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
39        	                  	BLOCKED [F1]      	SIGILL [F0,F3]    	EXIT []           	EXIT []           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
40        	                  	BLOCKED [F1]      	EXIT [F0,F3]      	EXIT []           	EXIT []           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
41        	                  	BLOCKED [F1]      	EXIT [F0,F3]      	EXIT []           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
42        	                  	BLOCKED [F1]      	EXIT [F0,F3]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
43        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
44        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
45        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
46        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
47        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
48        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
49        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
50        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
51        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
52        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
53        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
54        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
55        	                  	BLOCKED [F1]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
