time      	proc1              	proc2              	proc3              	proc4              	proc5              	proc6              	proc7              	proc8              	proc9              	proc10             	proc11             	proc12             	proc13             	proc14             	proc15             	proc16             	proc17             	proc18             	proc19             	proc20             
1         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
2         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
3         	RUN [F0]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
4         	RUN [F0]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
5         	RUN [F0]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
6         	READY [F0]        	RUN [F1]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
7         	READY [F0]        	RUN [F1]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
8         	READY [F0]        	RUN [F1]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
9         	RUN [F0]          	READY [F1]        	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
10        	RUN [F0]          	READY [F1]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
11        	RUN [F0]          	READY [F1]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
12        	READY [F0]        	READY [F1]        	RUN [F2]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
13        	READY [F0]        	READY [F1]        	RUN [F2]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
14        	READY [F0]        	READY [F1]        	RUN [F2]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
15        	READY [F0]        	RUN [F1]          	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
16        	READY [F0]        	RUN [F1]          	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
17        	READY [F0]        	RUN [F1]          	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
18        	RUN [F0]          	READY [F1]        	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
19        	RUN [F0]          	READY [F1]        	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
20        	RUN [F0]          	READY [F1]        	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
21        	READY [F0]        	READY [F1]        	READY [F2]        	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
22        	READY [F0]        	READY [F1]        	READY [F2]        	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
23        	READY [F0]        	READY [F1]        	READY [F2]        	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
24        	READY [F0]        	READY [F1]        	RUN [F2]          	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
25        	READY [F0]        	READY [F1]        	RUN [F2]          	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
26        	READY [F0]        	READY [F1]        	RUN [F2]          	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
27        	READY [F0]        	RUN [F1]          	READY [F2]        	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
28        	READY [F0]        	RUN [F1]          	READY [F2]        	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
29        	READY [F0]        	RUN [F1]          	READY [F2]        	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
30        	RUN [F0]          	READY [F1]        	READY [F2]        	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
31        	RUN [F0]          	READY [F1]        	READY [F2]        	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
32        	EXIT [F0]         	READY [F1]        	READY [F2]        	RUN [F3]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
33        	EXIT [F0]         	READY [F1]        	READY [F2]        	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
34        	EXIT [F0]         	READY [F1]        	READY [F2]        	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
35        	                  	READY [F1]        	RUN [F2]          	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
36        	                  	READY [F1]        	RUN [F2]          	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
37        	                  	READY [F1]        	RUN [F2]          	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
38        	                  	RUN [F1]          	READY [F2]        	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
39        	                  	RUN [F1]          	READY [F2]        	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
40        	                  	EXIT [F1]         	READY [F2]        	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
41        	                  	EXIT [F1]         	READY [F2]        	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
42        	                  	EXIT [F1]         	READY [F2]        	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
43        	                  	                  	RUN [F2]          	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
44        	                  	                  	RUN [F2]          	READY [F3]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
45        	                  	                  	EXIT [F2]         	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
46        	                  	                  	EXIT [F2]         	RUN [F3]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
47        	                  	                  	EXIT [F2]         	EXIT [F3]         	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
48        	                  	                  	                  	EXIT [F3]         	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
49        	                  	                  	                  	EXIT [F3]         	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
