time      	proc1              	proc2              	proc3              	proc4              	proc5              	proc6              	proc7              	proc8              	proc9              	proc10             	proc11             	proc12             	proc13             	proc14             	proc15             	proc16             	proc17             	proc18             	proc19             	proc20             
1         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
2         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
3         	RUN []            	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
4         	BLOCKED []        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
5         	BLOCKED []        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
6         	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
7         	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
8         	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
9         	BLOCKED []        	RUN []            	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
10        	BLOCKED []        	RUN []            	NEW               	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
11        	BLOCKED []        	RUN []            	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
12        	READY []          	READY []          	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
13        	READY []          	READY []          	BLOCKED []        	RUN []            	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
14        	READY []          	READY []          	BLOCKED []        	RUN []            	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
15        	READY []          	READY []          	READY []          	RUN []            	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
16        	RUN []            	READY []          	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
17        	EXIT []           	RUN []            	READY []          	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
18        	EXIT []           	EXIT []           	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
19        	EXIT []           	EXIT []           	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
20        	                  	EXIT []           	RUN []            	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
21        	                  	                  	EXIT []           	RUN []            	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
22        	                  	                  	EXIT []           	EXIT []           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
23        	                  	                  	EXIT []           	EXIT []           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
24        	                  	                  	                  	EXIT []           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
